City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","10","1934","2706","₹699150","₹970050","71.47%"
"bengaluru","Tamil","21","2424","8104","₹768050","₹2506200","29.91%"
