City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","3","707","791","₹259500","₹289950","89.38%"
"bengaluru","Hindi","9","1361","3238","₹427475","₹1005300","42.03%"
