City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","3","533","791","₹194925","₹289950","67.38%"
"bengaluru","Hindi","9","713","3238","₹226700","₹1005300","22.02%"
