City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","3","707","791","₹259500","₹289950","89.38%"
"bengaluru","Hindi","13","2157","5199","₹676300","₹1601100","41.49%"
