City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","3","719","791","₹263475","₹289950","90.90%"
"bengaluru","Hindi","9","1463","3238","₹456150","₹1005300","45.18%"
