City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","1","218","352","₹81750","₹132000","61.93%"
"bengaluru","Hindi","3","153","1205","₹52650","₹387900","12.70%"
