City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","2","418","441","₹150225","₹158700","94.78%"
"bengaluru","Hindi","5","663","1570","₹212325","₹497400","42.23%"
