City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","5","1108","1232","₹404025","₹448650","89.94%"
"bengaluru","Hindi","13","2048","5199","₹643725","₹1601100","39.39%"
