City,Language,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:00 pm","89","84","94.38","₹25200","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:30 pm","352","337","95.74","₹126375","₹132000","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:30 pm","350","282","80.57","₹105750","₹131250","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:30 pm","89","58","65.17","₹17400","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","10:30 pm","352","140","39.77","₹52500","₹132000","375.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:45 pm","352","208","59.09","₹78000","₹132000","375.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:00 pm","36","24","66.67","₹7200","₹10800","300.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","07:15 pm","352","108","30.68","₹40500","₹132000","375.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:15 pm","36","12","33.33","₹3600","₹10800","300.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","10:00 pm","352","79","22.44","₹29625","₹132000","375.00"
"bengaluru","Hindi","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","03:50 pm","756","245","32.41","₹67375","₹207900","275.00"
"bengaluru","Hindi","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","07:10 pm","756","107","14.15","₹29425","₹207900","275.00"
"bengaluru","Hindi","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","04:00 pm","329","170","51.67","₹51000","₹98700","300.00"
"bengaluru","Hindi","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","07:15 pm","329","87","26.44","₹26100","₹98700","300.00"
"bengaluru","Hindi","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","10:30 pm","329","11","3.34","₹3300","₹98700","300.00"
"bengaluru","Hindi","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","03:50 pm","524","289","55.15","₹86700","₹157200","300.00"
"bengaluru","Hindi","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","07:05 pm","524","114","21.76","₹34200","₹157200","300.00"
"bengaluru","Hindi","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","10:20 pm","524","18","3.44","₹5400","₹157200","300.00"
