City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","9","1253","2354","₹447225","₹838050","53.23%"
"bengaluru","Hindi","21","1692","8104","₹537375","₹2506200","20.88%"
