City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","5","901","1232","₹327225","₹448650","73.13%"
"bengaluru","Hindi","13","1472","5199","₹462425","₹1601100","28.31%"
