City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","9","1243","2354","₹443475","₹838050","52.80%"
"bengaluru","Hindi","21","1690","8104","₹536775","₹2506200","20.85%"
