City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","2","282","441","₹99750","₹158700","63.95%"
"bengaluru","Hindi","5","325","1570","₹104250","₹497400","20.70%"
