City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","2","417","441","₹149850","₹158700","94.56%"
"bengaluru","Hindi","4","542","1241","₹175875","₹398700","43.67%"
