City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","3","530","791","₹193800","₹289950","67.00%"
"bengaluru","Hindi","9","698","3238","₹222075","₹1005300","21.56%"
