City,Language,Shows,BookedSeats,MaxSeats,Collection,MaxCollection,Occupancy
"bengaluru","Telugu","7","1099","1913","₹390000","₹679350","57.45%"
"bengaluru","Hindi","17","1701","6865","₹532300","₹2108250","24.78%"
