City,Language,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:00 pm","89","80","89.89","₹24000","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:30 pm","352","320","90.91","₹120000","₹132000","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:30 pm","350","327","93.43","₹122625","₹131250","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:30 pm","89","73","82.02","₹21900","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","10:30 pm","352","308","87.50","₹115500","₹132000","375.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:45 pm","352","227","64.49","₹85125","₹132000","375.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:00 pm","36","19","52.78","₹5700","₹10800","300.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","07:15 pm","352","219","62.22","₹82125","₹132000","375.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:15 pm","36","15","41.67","₹4500","₹10800","300.00"
"bengaluru","Hindi","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","10:00 pm","352","131","37.22","₹49125","₹132000","375.00"
"bengaluru","Hindi","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","03:50 pm","756","281","37.17","₹77275","₹207900","275.00"
"bengaluru","Hindi","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","07:10 pm","756","277","36.64","₹76175","₹207900","275.00"
"bengaluru","Hindi","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","04:00 pm","329","165","50.15","₹49500","₹98700","300.00"
"bengaluru","Hindi","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","07:15 pm","329","117","35.56","₹35100","₹98700","300.00"
"bengaluru","Hindi","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","10:30 pm","329","59","17.93","₹17700","₹98700","300.00"
"bengaluru","Hindi","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","03:50 pm","524","183","34.92","₹54900","₹157200","300.00"
"bengaluru","Hindi","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","07:05 pm","524","253","48.28","₹75900","₹157200","300.00"
"bengaluru","Hindi","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","10:20 pm","524","102","19.47","₹30600","₹157200","300.00"
