Language,City,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","09:40 AM","774","335","43.28%","73750.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","01:00 PM","774","349","45.09%","76900.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","04:00 PM","774","340","43.93%","74850.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","07:00 PM","774","338","43.67%","74350.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","10:00 PM","774","335","43.28%","73750.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Theater A/C 4K Dolby Atmos: Kadugudi","03:50 PM","495","282","56.97%","51180.00","92400.00","186.67"
"Telugu","Bengaluru","Srinivasa Theater A/C 4K Dolby Atmos: Kadugudi","10:15 PM","495","206","41.62%","37220.00","92400.00","186.67"
"Telugu","Bengaluru","Thirumala 4K Dolby Atmos: Agara","12:45 PM","704","74","10.51%","14450.00","140800.00","200.00"
"Telugu","Bengaluru","Thirumala 4K Dolby Atmos: Agara","07:10 PM","704","14","1.99%","2750.00","140800.00","200.00"
"Telugu","Bengaluru","V Cinemas: T.C Palya Main Road, Ramamurthy Nagar","09:10 AM","102","94","92.16%","19350.00","20400.00","200.00"
"Telugu","Bengaluru","V Cinemas: T.C Palya Main Road, Ramamurthy Nagar","03:15 PM","102","98","96.08%","20100.00","20400.00","200.00"
"Telugu","Bengaluru","V Cinemas: T.C Palya Main Road, Ramamurthy Nagar","06:35 PM","102","84","82.35%","17950.00","20400.00","200.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","10:00 AM","505","107","21.19%","17400.00","88375.00","175.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","01:15 PM","505","101","20.00%","16200.00","88375.00","175.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","07:00 PM","505","101","20.00%","16200.00","88375.00","175.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","10:00 PM","505","101","20.00%","16200.00","88375.00","175.00"
"Telugu","Bengaluru","Venkateshwara Theatre - Konappana Agrahara (E.City","12:40 PM","363","81","22.31%","19500.00","81675.00","225.00"
"Telugu","Bengaluru","Venkateshwara Theatre - Konappana Agrahara (E.City","10:30 PM","465","160","34.41%","36950.00","104625.00","225.00"
"Telugu","Bellary","Ganga Theatre: Bellary","10:15 AM","512","74","14.45%","22000.00","128000.00","250.00"
"Telugu","Bellary","Ganga Theatre: Bellary","01:30 PM","512","76","14.84%","22400.00","128000.00","250.00"
"Telugu","Bellary","Ganga Theatre: Bellary","04:45 PM","512","78","15.23%","22800.00","128000.00","250.00"
"Telugu","Bellary","Ganga Theatre: Bellary","08:15 PM","512","72","14.06%","21600.00","128000.00","250.00"
"Telugu","Bellary","Movietime Cinemas: SLN Mall, Bellary","12:00 PM","280","16","5.71%","6100.00","107333.33","383.33"
"Telugu","Bellary","Movietime Cinemas: SLN Mall, Bellary","09:45 PM","280","8","2.86%","3400.00","107333.33","383.33"
"Telugu","Bellary","Radhika Theatre: Bellary","10:30 AM","756","370","48.94%","81500.00","189000.00","250.00"
"Telugu","Bellary","Radhika Theatre: Bellary","01:45 PM","756","392","51.85%","87600.00","189000.00","250.00"
"Telugu","Bellary","Radhika Theatre: Bellary","05:00 PM","756","379","50.13%","84100.00","189000.00","250.00"
"Telugu","Bellary","Radhika Theatre: Bellary","08:15 PM","756","365","48.28%","79900.00","189000.00","250.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","10:00 AM","553","0","0.00%","0.00","69125.00","125.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","01:30 PM","553","0","0.00%","0.00","69125.00","125.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","05:00 PM","553","2","0.36%","300.00","69125.00","125.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","08:30 PM","553","0","0.00%","0.00","69125.00","125.00"
"Telugu","Chikballapur","Balaji Talkies: Chikkaballapura","09:45 AM","136","9","6.62%","1800.00","27200.00","200.00"
"Telugu","Chikballapur","Balaji Talkies: Chikkaballapura","12:45 PM","136","8","5.88%","1600.00","27200.00","200.00"
"Telugu","Chikballapur","Balaji Talkies: Chikkaballapura","07:00 PM","136","0","0.00%","0.00","27200.00","200.00"
"Telugu","Kolar","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","10:00 AM","184","33","17.93%","5520.00","30360.00","165.00"
"Telugu","Kolar","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","04:00 PM","184","14","7.61%","2520.00","30360.00","165.00"
"Telugu","Kolar","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","07:15 PM","184","8","4.35%","1440.00","30360.00","165.00"
"Telugu","Malur","Sri Balaji Theatre: Malur","10:30 AM","307","0","0.00%","0.00","53725.00","175.00"
"Telugu","Malur","Sri Balaji Theatre: Malur","01:30 PM","307","3","0.98%","450.00","53725.00","175.00"
"Telugu","Malur","Sri Balaji Theatre: Malur","07:30 PM","307","0","0.00%","0.00","53725.00","175.00"
"Telugu","Tiptur","Ganesh Theatre Laser Projection: Tiptur","11:30 AM","829","0","0.00%","0.00","103625.00","125.00"
"Telugu","Tiptur","Ganesh Theatre Laser Projection: Tiptur","02:30 PM","829","0","0.00%","0.00","103625.00","125.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","08:30 AM","181","2","1.10%","600.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","12:00 PM","181","16","8.84%","4800.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","03:30 PM","181","18","9.94%","5400.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","07:00 PM","181","10","5.52%","3000.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","10:30 PM","181","0","0.00%","0.00","54300.00","300.00"
