Language,City,Total Shows,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Telugu","Bengaluru","105","37475","6383","17.03%","1597930.00","9090141.67","242.57"
"Telugu","Bellary","10","5632","1830","32.49%","431400.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","2","0.09%","300.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","17","4.17%","3400.00","81600.00","200.00"
"Telugu","Kolar","3","552","55","9.96%","9480.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","46","5.08%","13800.00","271500.00","300.00"
