City,Total Shows,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
Tumkur,1,33,29,87.88%,10150.00,11550.00,350.00
Manipal,3,367,28,7.63%,4760.00,57450.00,156.54
TOTAL,4,400,57,14.25%,14910.00,69000.00,172.50
