City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Miryalaguda","2","370","62","29350.00","170920.00","16.76%"
"Siddipet","8","4516","842","228400.00","1211800.00","18.64%"
"Jagtial","1","435","179","49225.00","119625.00","41.15%"
"Sircilla","0","0","0","0.00","0.00","0.00%"
"Kamareddy","4","1944","338","92950.00","534600.00","17.39%"
"Palwancha","0","0","0","0.00","0.00","0.00%"
"Kothagudem","0","0","0","0.00","0.00","0.00%"
"Bodhan","0","0","0","0.00","0.00","0.00%"
"Sangareddy","8","4612","1678","452530.00","1186940.00","36.38%"
"Metpally","4","2624","20","5000.00","561040.00","0.76%"
