City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Hyderabad","402","115587","104801","39599525.00","44153365.00","90.67%"
"Warangal","26","8349","6444","2124520.00","2716745.00","77.18%"
"Karimnagar","7","2270","969","436355.00","975810.00","42.69%"
"Nizamabad","5","1679","933","419585.00","751610.00","55.57%"
"Khammam","2","1652","1358","342195.00","392180.00","82.20%"
"Mahbubnagar","3","1790","1550","441045.00","515920.00","86.59%"
"Mancherial","1","668","532","145600.00","180700.00","79.64%"
"Nalgonda","1","144","33","11550.00","50400.00","22.92%"
"Adilabad","3","1595","657","161975.00","410725.00","41.19%"
"Suryapet","5","1826","677","226575.00","590845.00","37.08%"
