City,Venue,Show_Time,Category,Max_Seats,Booked_Seats,Price,Collection,Max_Collection,Occupancy
"Miryalaguda","Raghava Theatre: Miryalaguda","11:00 AM","","435","53","275.00","14575.00","119625.00","12.18%"
"Miryalaguda","Raghava Theatre: Miryalaguda","11:00 AM","","155","13","105.00","1365.00","16275.00","8.39%"
"Miryalaguda","Raghava Theatre: Miryalaguda","02:15 PM","","435","79","275.00","21725.00","119625.00","18.16%"
"Miryalaguda","Raghava Theatre: Miryalaguda","02:15 PM","","155","7","105.00","735.00","16275.00","4.52%"
"Miryalaguda","Raghava Theatre: Miryalaguda","06:00 PM","","435","98","275.00","26950.00","119625.00","22.53%"
"Miryalaguda","Raghava Theatre: Miryalaguda","06:00 PM","","155","12","105.00","1260.00","16275.00","7.74%"
"Miryalaguda","Raghava Theatre: Miryalaguda","09:15 PM","","435","40","275.00","11000.00","119625.00","9.20%"
"Miryalaguda","Raghava Theatre: Miryalaguda","09:15 PM","","155","0","105.00","0.00","16275.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","11:30 AM","","45","19","500.00","9500.00","22500.00","42.22%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","11:30 AM","","128","0","445.00","0.00","56960.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","11:30 AM","","12","0","500.00","0.00","6000.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","01:30 PM","","45","0","500.00","0.00","22500.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","01:30 PM","","128","0","445.00","0.00","56960.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","01:30 PM","","12","0","500.00","0.00","6000.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","02:30 PM","","45","6","500.00","3000.00","22500.00","13.33%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","02:30 PM","","128","2","445.00","890.00","56960.00","1.56%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","02:30 PM","","12","7","500.00","3500.00","6000.00","58.33%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","06:30 PM","","45","23","500.00","11500.00","22500.00","51.11%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","06:30 PM","","128","12","445.00","5340.00","56960.00","9.38%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","06:30 PM","","12","6","500.00","3000.00","6000.00","50.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","07:00 PM","","45","0","500.00","0.00","22500.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","07:00 PM","","128","0","445.00","0.00","56960.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","07:00 PM","","12","0","500.00","0.00","6000.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","09:45 PM","","45","0","500.00","0.00","22500.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","09:45 PM","","128","0","445.00","0.00","56960.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","09:45 PM","","12","0","500.00","0.00","6000.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:15 PM","","45","0","500.00","0.00","22500.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:15 PM","","128","0","445.00","0.00","56960.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:15 PM","","12","0","500.00","0.00","6000.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","11:00 AM","","194","96","275.00","26400.00","53350.00","49.48%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","11:00 AM","","248","0","275.00","0.00","68200.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","11:00 AM","","111","3","250.00","750.00","27750.00","2.70%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","02:15 PM","","194","111","275.00","30525.00","53350.00","57.22%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","02:15 PM","","248","0","275.00","0.00","68200.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","02:15 PM","","111","4","250.00","1000.00","27750.00","3.60%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","06:00 PM","","194","92","275.00","25300.00","53350.00","47.42%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","06:00 PM","","248","0","275.00","0.00","68200.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","06:00 PM","","111","0","250.00","0.00","27750.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","09:15 PM","","194","74","275.00","20350.00","53350.00","38.14%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","09:15 PM","","248","0","275.00","0.00","68200.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","09:15 PM","","111","0","250.00","0.00","27750.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","11:00 AM","","280","54","275.00","14850.00","77000.00","19.29%"
"Siddipet","Asian Venkateshwara: Siddipet","11:00 AM","","106","0","275.00","0.00","29150.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","11:00 AM","","190","0","250.00","0.00","47500.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","02:15 PM","","280","85","275.00","23375.00","77000.00","30.36%"
"Siddipet","Asian Venkateshwara: Siddipet","02:15 PM","","106","0","275.00","0.00","29150.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","02:15 PM","","190","2","250.00","500.00","47500.00","1.05%"
"Siddipet","Asian Venkateshwara: Siddipet","06:00 PM","","280","86","275.00","23650.00","77000.00","30.71%"
"Siddipet","Asian Venkateshwara: Siddipet","06:00 PM","","106","0","275.00","0.00","29150.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","06:00 PM","","190","0","250.00","0.00","47500.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","09:15 PM","","280","86","275.00","23650.00","77000.00","30.71%"
"Siddipet","Asian Venkateshwara: Siddipet","09:15 PM","","106","0","275.00","0.00","29150.00","0.00%"
"Siddipet","Asian Venkateshwara: Siddipet","09:15 PM","","190","0","250.00","0.00","47500.00","0.00%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","11:00 AM","","435","100","275.00","27500.00","119625.00","22.99%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","02:15 PM","","435","100","275.00","27500.00","119625.00","22.99%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","06:15 PM","","435","93","275.00","25575.00","119625.00","21.38%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","09:30 PM","","435","75","275.00","20625.00","119625.00","17.24%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","11:00 AM","","486","32","275.00","8800.00","133650.00","6.58%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","02:15 PM","","486","78","275.00","21450.00","133650.00","16.05%"
