City,Venue,Show_Time,Category,Max_Seats,Booked_Seats,Price,Collection,Max_Collection,Occupancy
"Miryalaguda","Raghava Theatre: Miryalaguda","06:00 PM","","435","304","275.00","83600.00","119625.00","69.89%"
"Miryalaguda","Raghava Theatre: Miryalaguda","06:00 PM","","155","155","105.00","16275.00","16275.00","100.00%"
"Miryalaguda","Raghava Theatre: Miryalaguda","09:15 PM","","435","73","275.00","20075.00","119625.00","16.78%"
"Miryalaguda","Raghava Theatre: Miryalaguda","09:15 PM","","155","13","105.00","1365.00","16275.00","8.39%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","06:30 PM","","45","32","500.00","16000.00","22500.00","71.11%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","06:30 PM","","128","66","445.00","29370.00","56960.00","51.56%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","06:30 PM","","12","12","500.00","6000.00","6000.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","07:00 PM","","45","16","500.00","8000.00","22500.00","35.56%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","07:00 PM","","128","9","445.00","4005.00","56960.00","7.03%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","07:00 PM","","12","10","500.00","5000.00","6000.00","83.33%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","09:45 PM","","45","2","500.00","1000.00","22500.00","4.44%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","09:45 PM","","128","0","445.00","0.00","56960.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","09:45 PM","","12","0","500.00","0.00","6000.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:15 PM","","45","0","500.00","0.00","22500.00","0.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:15 PM","","128","2","445.00","890.00","56960.00","1.56%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:15 PM","","12","0","500.00","0.00","6000.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","06:00 PM","","194","154","275.00","42350.00","53350.00","79.38%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","06:00 PM","","248","7","275.00","1925.00","68200.00","2.82%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","06:00 PM","","111","23","250.00","5750.00","27750.00","20.72%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","09:15 PM","","194","98","275.00","26950.00","53350.00","50.52%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","09:15 PM","","248","0","275.00","0.00","68200.00","0.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","09:15 PM","","111","2","250.00","500.00","27750.00","1.80%"
"Siddipet","Asian Venkateshwara: Siddipet","06:00 PM","","280","101","275.00","27775.00","77000.00","36.07%"
"Siddipet","Asian Venkateshwara: Siddipet","06:00 PM","","106","0","275.00","0.00","29150.00","0.00%"
