City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Hyderabad","302","104424","37122","13615430.00","39177365.00","35.55%"
"Warangal","19","6316","2042","712905.00","2088800.00","32.33%"
"Karimnagar","7","2211","283","122600.00","900860.00","12.80%"
"Nizamabad","4","1410","290","131470.00","631410.00","20.57%"
"Khammam","2","1652","369","101450.00","392180.00","22.34%"
"Mahbubnagar","3","1790","391","100470.00","485250.00","21.84%"
"Mancherial","1","668","110","30250.00","180700.00","16.47%"
"Nalgonda","2","288","24","8400.00","100800.00","8.33%"
"Adilabad","1","542","45","12375.00","149050.00","8.30%"
"Suryapet","4","1354","437","136670.00","442340.00","32.27%"
