City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Miryalaguda","5","1209","969","775200.00","967200.00","80.15%"
"Siddipet","1","553","108","84200.00","420200.00","19.53%"
"Jagtial","5","2175","1637","450175.00","598125.00","75.26%"
"Sircilla","4","2400","378","95790.00","585880.00","15.75%"
"Kamareddy","5","2430","1081","297275.00","668250.00","44.49%"
"Palwancha","0","0","0","0.00","0.00","0.00%"
"Kothagudem","1","527","50","40000.00","421600.00","9.49%"
"Bodhan","0","0","0","0.00","0.00","0.00%"
"Sangareddy","1","658","472","376400.00","507200.00","71.73%"
"Metpally","5","3280","1505","365315.00","701300.00","45.88%"
