City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","16","0","0","0.00","0.00","0.00%"
"Kanakapura","3","0","0","0.00","0.00","0.00%"
"Karkala","1","0","0","0.00","0.00","0.00%"
"Mandya","6","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","4","0","0","0.00","0.00","0.00%"
"Ranebennuru","3","0","0","0.00","0.00","0.00%"
"Udupi","20","0","0","0.00","0.00","0.00%"
"Channarayapatna","0","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%"
