City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Chikkamagalur","0","0","0","0.00","0.00","0.00%"
"Gadag","0","0","0","0.00","0.00","0.00%"
"Bijapur","6","1536","540","126750.00","358800.00","35.16%"
"Magadi","4","1024","512","71100.00","132960.00","50.00%"
"Mudhol","8","344","140","21000.00","45600.00","40.70%"
"Krishnarajanagara","0","0","0","0.00","0.00","0.00%"
"Baindur","5","1710","6","900.00","256500.00","0.35%"
"Gundlupet","0","0","0","0.00","0.00","0.00%"
"Belur","6","2148","349","47460.00","266400.00","16.25%"
"Bhatkal","0","0","0","0.00","0.00","0.00%"
