City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Chikkamagalur","0","0","0","0.00","0.00","0.00%"
"Gadag","0","0","0","0.00","0.00","0.00%"
"Bijapur","6","1536","252","59550.00","358800.00","16.41%"
"Magadi","4","1024","158","23220.00","132960.00","15.43%"
"Mudhol","4","144","53","7950.00","21600.00","36.81%"
"Krishnarajanagara","0","0","0","0.00","0.00","0.00%"
"Baindur","0","0","0","0.00","0.00","0.00%"
"Gundlupet","0","0","0","0.00","0.00","0.00%"
"Belur","6","2502","8","960.00","318120.00","0.32%"
"Bhatkal","0","0","0","0.00","0.00","0.00%"
