City,Venue,Show_Time,Category,Max_Seats,Booked_Seats,Price,Collection,Max_Collection,Occupancy
"Bijapur","Apsara Cineplex 70 mm: Bijapur","12:00 PM","","390","176","250.00","44000.00","97500.00","45.13%"
"Bijapur","Apsara Cineplex 70 mm: Bijapur","12:00 PM","","84","0","250.00","0.00","21000.00","0.00%"
"Bijapur","Apsara Cineplex 70 mm: Bijapur","03:00 PM","","390","128","250.00","32000.00","97500.00","32.82%"
"Bijapur","Apsara Cineplex 70 mm: Bijapur","03:00 PM","","84","0","250.00","0.00","21000.00","0.00%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","12:00 PM","","21","16","250.00","4000.00","5250.00","76.19%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","12:00 PM","","126","63","200.00","12600.00","25200.00","50.00%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","03:00 PM","","21","21","250.00","5250.00","5250.00","100.00%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","03:00 PM","","126","49","200.00","9800.00","25200.00","38.89%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","06:00 PM","","21","13","250.00","3250.00","5250.00","61.90%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","06:00 PM","","126","30","200.00","6000.00","25200.00","23.81%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","09:00 PM","","21","21","250.00","5250.00","5250.00","100.00%"
"Bijapur","Sri Lakshmi Theatre: Vijayapura (Bijapur)","09:00 PM","","126","23","200.00","4600.00","25200.00","18.25%"
"Magadi","Sri Balaji Chitramandira: Magadi","10:30 AM","","84","83","150.00","12450.00","12600.00","98.81%"
"Magadi","Sri Balaji Chitramandira: Magadi","10:30 AM","","172","60","120.00","7200.00","20640.00","34.88%"
"Magadi","Sri Balaji Chitramandira: Magadi","01:30 PM","","84","82","150.00","12300.00","12600.00","97.62%"
"Magadi","Sri Balaji Chitramandira: Magadi","01:30 PM","","172","57","120.00","6840.00","20640.00","33.14%"
"Magadi","Sri Balaji Chitramandira: Magadi","04:30 PM","","84","75","150.00","11250.00","12600.00","89.29%"
"Magadi","Sri Balaji Chitramandira: Magadi","04:30 PM","","172","15","120.00","1800.00","20640.00","8.72%"
"Magadi","Sri Balaji Chitramandira: Magadi","07:30 PM","","84","82","150.00","12300.00","12600.00","97.62%"
"Magadi","Sri Balaji Chitramandira: Magadi","07:30 PM","","172","58","120.00","6960.00","20640.00","33.72%"
"Mudhol","Subhashini Theatre: Mudhol","12:00 PM","","50","0","120.00","0.00","6000.00","0.00%"
"Mudhol","Subhashini Theatre: Mudhol","03:00 PM","","50","0","120.00","0.00","6000.00","0.00%"
"Mudhol","Subhashini Theatre: Mudhol","06:00 PM","","50","0","120.00","0.00","6000.00","0.00%"
"Mudhol","Subhashini Theatre: Mudhol","09:00 PM","","50","0","120.00","0.00","6000.00","0.00%"
"Mudhol","Suryavanshi Multiplex: Mudhol","12:00 PM","","36","36","150.00","5400.00","5400.00","100.00%"
"Mudhol","Suryavanshi Multiplex: Mudhol","03:00 PM","","36","35","150.00","5250.00","5400.00","97.22%"
"Mudhol","Suryavanshi Multiplex: Mudhol","06:00 PM","","36","35","150.00","5250.00","5400.00","97.22%"
"Mudhol","Suryavanshi Multiplex: Mudhol","09:00 PM","","36","34","150.00","5100.00","5400.00","94.44%"
"Baindur","Shankar Cinema: Baindur","09:30 AM","","342","2","150.00","300.00","51300.00","0.58%"
"Baindur","Shankar Cinema: Baindur","12:15 PM","","342","4","150.00","600.00","51300.00","1.17%"
"Baindur","Shankar Cinema: Baindur","03:00 PM","","342","0","150.00","0.00","51300.00","0.00%"
"Baindur","Shankar Cinema: Baindur","06:00 PM","","342","0","150.00","0.00","51300.00","0.00%"
"Baindur","Shankar Cinema: Baindur","09:00 PM","","342","0","150.00","0.00","51300.00","0.00%"
"Belur","Sri Renuka Talkies: Belur","06:30 AM","","48","15","150.00","2250.00","7200.00","31.25%"
"Belur","Sri Renuka Talkies: Belur","06:30 AM","","310","27","120.00","3240.00","37200.00","8.71%"
"Belur","Sri Renuka Talkies: Belur","10:00 AM","","48","32","150.00","4800.00","7200.00","66.67%"
"Belur","Sri Renuka Talkies: Belur","10:00 AM","","310","23","120.00","2760.00","37200.00","7.42%"
"Belur","Sri Renuka Talkies: Belur","01:00 PM","","48","43","150.00","6450.00","7200.00","89.58%"
"Belur","Sri Renuka Talkies: Belur","01:00 PM","","310","22","120.00","2640.00","37200.00","7.10%"
"Belur","Sri Renuka Talkies: Belur","04:00 PM","","48","45","150.00","6750.00","7200.00","93.75%"
"Belur","Sri Renuka Talkies: Belur","04:00 PM","","310","30","120.00","3600.00","37200.00","9.68%"
"Belur","Sri Renuka Talkies: Belur","07:00 PM","","48","41","150.00","6150.00","7200.00","85.42%"
"Belur","Sri Renuka Talkies: Belur","07:00 PM","","310","61","120.00","7320.00","37200.00","19.68%"
"Belur","Sri Renuka Talkies: Belur","10:00 PM","","48","10","150.00","1500.00","7200.00","20.83%"
"Belur","Sri Renuka Talkies: Belur","10:00 PM","","310","0","120.00","0.00","37200.00","0.00%"
