City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","20","0","0","0.00","0.00","0.00%"
"Kanakapura","3","0","0","0.00","0.00","0.00%"
"Karkala","2","0","0","0.00","0.00","0.00%"
"Mandya","8","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","4","0","0","0.00","0.00","0.00%"
"Ranebennuru","4","0","0","0.00","0.00","0.00%"
"Udupi","29","0","0","0.00","0.00","0.00%"
"Channarayapatna","0","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%"
